"monatszahl","auspraegung","jahr","monat","wert"
"Alkoholunfälle","Verletzte und Getötete",2015,6,19
"Alkoholunfälle","Verletzte und Getötete",2015,7,37
"Alkoholunfälle","Verletzte und Getötete",2015,8,29
"Alkoholunfälle","Verletzte und Getötete",2015,9,25
"Alkoholunfälle","Verletzte und Getötete",2015,10,12
"Alkoholunfälle","Verletzte und Getötete",2015,11,11
"Alkoholunfälle","Verletzte und Getötete",2015,12,6
"Alkoholunfälle","Verletzte und Getötete",2014,1,4
"Alkoholunfälle","Verletzte und Getötete",2014,2,7
"Alkoholunfälle","Verletzte und Getötete",2014,3,16
"Alkoholunfälle","Verletzte und Getötete",2014,4,15
"Alkoholunfälle","Verletzte und Getötete",2014,5,19
"Alkoholunfälle","Verletzte und Getötete",2014,6,16
"Alkoholunfälle","Verletzte und Getötete",2014,7,21
"Alkoholunfälle","Verletzte und Getötete",2014,8,13
"Alkoholunfälle","Verletzte und Getötete",2014,9,18
"Alkoholunfälle","Verletzte und Getötete",2014,10,21
"Alkoholunfälle","Verletzte und Getötete",2014,11,14
"Alkoholunfälle","Verletzte und Getötete",2014,12,3
"Alkoholunfälle","Verletzte und Getötete",2013,1,2
"Alkoholunfälle","Verletzte und Getötete",2013,2,0
"Alkoholunfälle","Verletzte und Getötete",2013,3,8
"Alkoholunfälle","Verletzte und Getötete",2013,4,5
"Alkoholunfälle","Verletzte und Getötete",2013,5,21
"Alkoholunfälle","Verletzte und Getötete",2013,6,20
"Alkoholunfälle","Verletzte und Getötete",2013,7,24
"Alkoholunfälle","Verletzte und Getötete",2013,8,22
"Alkoholunfälle","Verletzte und Getötete",2013,9,17
"Alkoholunfälle","Verletzte und Getötete",2013,10,12
"Alkoholunfälle","Verletzte und Getötete",2013,11,12
"Alkoholunfälle","Verletzte und Getötete",2013,12,10
"Alkoholunfälle","Verletzte und Getötete",2012,1,11
"Alkoholunfälle","Verletzte und Getötete",2012,2,5
"Alkoholunfälle","Verletzte und Getötete",2012,3,5
"Alkoholunfälle","Verletzte und Getötete",2012,4,22
"Alkoholunfälle","Verletzte und Getötete",2012,5,33
"Alkoholunfälle","Verletzte und Getötete",2012,6,35
"Alkoholunfälle","Verletzte und Getötete",2012,7,30
"Alkoholunfälle","Verletzte und Getötete",2012,8,31
"Alkoholunfälle","Verletzte und Getötete",2012,9,24
"Alkoholunfälle","Verletzte und Getötete",2012,10,6
"Alkoholunfälle","Verletzte und Getötete",2012,11,10
"Alkoholunfälle","Verletzte und Getötete",2012,12,11
"Alkoholunfälle","Verletzte und Getötete",2011,1,16
"Alkoholunfälle","Verletzte und Getötete",2011,2,7
"Alkoholunfälle","Verletzte und Getötete",2011,3,9
"Alkoholunfälle","Verletzte und Getötete",2011,4,27
"Alkoholunfälle","Verletzte und Getötete",2011,5,20
"Alkoholunfälle","Verletzte und Getötete",2011,6,21
"Alkoholunfälle","Verletzte und Getötete",2011,7,27
"Alkoholunfälle","Verletzte und Getötete",2011,8,17
"Alkoholunfälle","Verletzte und Getötete",2011,9,22
"Alkoholunfälle","Verletzte und Getötete",2011,10,10
"Alkoholunfälle","Verletzte und Getötete",2011,11,16
"Alkoholunfälle","Verletzte und Getötete",2011,12,6
"Alkoholunfälle","Verletzte und Getötete",2010,1,7
"Alkoholunfälle","Verletzte und Getötete",2010,2,10
"Alkoholunfälle","Verletzte und Getötete",2010,3,12
"Alkoholunfälle","Verletzte und Getötete",2010,4,25
"Alkoholunfälle","Verletzte und Getötete",2010,5,15
"Alkoholunfälle","Verletzte und Getötete",2010,6,20
"Alkoholunfälle","Verletzte und Getötete",2010,7,29
"Alkoholunfälle","Verletzte und Getötete",2010,8,25
"Alkoholunfälle","Verletzte und Getötete",2010,9,26
"Alkoholunfälle","Verletzte und Getötete",2010,10,13
"Alkoholunfälle","Verletzte und Getötete",2010,11,7
"Alkoholunfälle","Verletzte und Getötete",2010,12,12
"Alkoholunfälle","Verletzte und Getötete",2009,1,7
"Alkoholunfälle","Verletzte und Getötete",2009,2,12
"Alkoholunfälle","Verletzte und Getötete",2009,3,5
"Alkoholunfälle","Verletzte und Getötete",2009,4,31
"Alkoholunfälle","Verletzte und Getötete",2009,5,34
"Alkoholunfälle","Verletzte und Getötete",2009,6,19
"Alkoholunfälle","Verletzte und Getötete",2009,7,27
"Alkoholunfälle","Verletzte und Getötete",2009,8,26
"Alkoholunfälle","Verletzte und Getötete",2009,9,18
"Alkoholunfälle","Verletzte und Getötete",2009,10,15
"Alkoholunfälle","Verletzte und Getötete",2009,11,5
"Alkoholunfälle","Verletzte und Getötete",2009,12,14
"Alkoholunfälle","Verletzte und Getötete",2008,1,8
"Alkoholunfälle","Verletzte und Getötete",2008,2,16
"Alkoholunfälle","Verletzte und Getötete",2008,3,9
"Alkoholunfälle","Verletzte und Getötete",2008,4,10
"Alkoholunfälle","Verletzte und Getötete",2008,5,37
"Alkoholunfälle","Verletzte und Getötete",2008,6,32
"Alkoholunfälle","Verletzte und Getötete",2008,7,24
"Alkoholunfälle","Verletzte und Getötete",2008,8,23
"Alkoholunfälle","Verletzte und Getötete",2008,9,28
